,Rank,University,Location,URL
0, 1,Massachusetts Institute of Technology (MIT),United States,https://www.topuniversities.com/universities/massachusetts-institute-technology-mit
1, 2,Stanford University,United States,https://www.topuniversities.com/universities/stanford-university
2, 3,Harvard University,United States,https://www.topuniversities.com/universities/harvard-university
3, 4,California Institute of Technology (Caltech),United States,https://www.topuniversities.com/universities/california-institute-technology-caltech
4, 5,University of Oxford,United Kingdom,https://www.topuniversities.com/universities/university-oxford
5, 6,ETH Zurich (Swiss Federal Institute of Technology),Switzerland,https://www.topuniversities.com/universities/eth-zurich-swiss-federal-institute-technology
6, 7,University of Cambridge,United Kingdom,https://www.topuniversities.com/universities/university-cambridge
7, 8,Imperial College London,United Kingdom,https://www.topuniversities.com/universities/imperial-college-london
8, 9,University of Chicago,United States,https://www.topuniversities.com/universities/university-chicago
9, 10,UCL (University College London),United Kingdom,https://www.topuniversities.com/universities/ucl
10, 11,National University of Singapore (NUS),Singapore,https://www.topuniversities.com/universities/national-university-singapore-nus
11, 12,Princeton University,United States,https://www.topuniversities.com/universities/princeton-university
12, 13,"Nanyang Technological University, Singapore (NTU)",Singapore,https://www.topuniversities.com/universities/nanyang-technological-university-singapore-ntu
13, 14,Ecole Polytechnique Fédérale de Lausanne (EPFL),Switzerland,https://www.topuniversities.com/universities/epfl
14, 15,Tsinghua University,China,https://www.topuniversities.com/universities/tsinghua-university
15, 16,University of Pennsylvania,United States,https://www.topuniversities.com/universities/university-pennsylvania
16, 18,Yale University,United States,https://www.topuniversities.com/universities/yale-university
17, 17,Cornell University,United States,https://www.topuniversities.com/universities/cornell-university
18, 19,Columbia University,United States,https://www.topuniversities.com/universities/columbia-university
19, 20,University of Edinburgh,United Kingdom,https://www.topuniversities.com/universities/university-edinburgh
20, 21,University of Michigan-Ann Arbor,United States,https://www.topuniversities.com/universities/university-michigan
21, 22,University of Hong Kong (UKU),Hong Kong,https://www.topuniversities.com/universities/university-hong-kong
22, 23,Peking University,China,https://www.topuniversities.com/universities/peking-university
23, 24,University of Tokyo,Japan,https://www.topuniversities.com/universities/university-tokyo
24, 25,Johns Hopkins University,United States,https://www.topuniversities.com/universities/johns-hopkins-university
25, 25,University of Toronto,Canada,https://www.topuniversities.com/universities/university-toronto
26, 27,Hong Kong University of Science and Technology (HKUST),Hong Kong,https://www.topuniversities.com/universities/hong-kong-university-science-technology
27, 27,University of Manchester,United Kingdom,https://www.topuniversities.com/universities/university-manchester
28, 29,Northwestern University,United States,https://www.topuniversities.com/universities/northwestern-university
29, 30,"University of California, Berkeley (UCB)",United States,https://www.topuniversities.com/universities/university-california-berkeley-ucb
30, 31,Australian National University,Australia,https://www.topuniversities.com/universities/australian-national-university
31, 31,King's College London,United Kingdom,https://www.topuniversities.com/universities/kings-college-london
32, 31,McGill University,Canada,https://www.topuniversities.com/universities/mcgill-university
33, 34,Fudan University,China,https://www.topuniversities.com/universities/fudan-university
34, 35,New York University (NYU),United States,https://www.topuniversities.com/universities/new-york-university-nyu
35, 36,"University of California, Los Angeles (UCLA)",United States,https://www.topuniversities.com/universities/university-california-los-angeles-ucla
36, 37,Seoul National University,South Korea,https://www.topuniversities.com/universities/seoul-national-university
37, 38,Kyoto University,Japan,https://www.topuniversities.com/universities/kyoto-university
38, 39,KAIST - Korea Advanced Institute of Science & Technology,South Korea,https://www.topuniversities.com/universities/kaist-korea-advanced-institute-science-technology
39, 40,University of Sydney,Australia,https://www.topuniversities.com/universities/university-sydney
40, 41,University of Melbourne,Australia,https://www.topuniversities.com/universities/university-melbourne
41, 42,Duke University,United States,https://www.topuniversities.com/universities/duke-university
42, 43,Chinese University of Hong Kong (CUHK),Hong Kong,https://www.topuniversities.com/universities/chinese-university-hong-kong-cuhk
43, 44,University of New South Wales (UNSW Sydney),Australia,https://www.topuniversities.com/universities/university-new-south-wales-unsw-sydney
44, 45,University of British Columbia,Canada,https://www.topuniversities.com/universities/university-british-columbia
45, 46,University of Queensland,Australia,https://www.topuniversities.com/universities/university-queensland
46, 47,Shanghai Jiao Tong University,China,https://www.topuniversities.com/universities/shanghai-jiao-tong-university
47, 48,City University of Hong Kong,Hong Kong,https://www.topuniversities.com/universities/city-university-hong-kong
48, 49,London School of Economics and Political Science (LSE),United Kingdom,https://www.topuniversities.com/universities/london-school-economics-political-science-lse
49, 50,Technical University of Munich,Germany,https://www.topuniversities.com/universities/technical-university-munich
50, 51,Carnegie Mellon University,United States,https://www.topuniversities.com/universities/carnegie-mellon-university
51, 52,Universite PSL,France,https://www.topuniversities.com/universities/universite-psl
52, 53,Zhejiang University,China,https://www.topuniversities.com/universities/zhejiang-university
53, 54,"University of California, San Diego (UCSD)",United States,https://www.topuniversities.com/universities/university-california-san-diego-ucsd
54, 55,Monash University,Australia,https://www.topuniversities.com/universities/monash-university
55, 56,Tokyo Institute of Technology,Japan,https://www.topuniversities.com/universities/tokyo-institute-technology
56, 57,Delft University of Technology,Netherlands,https://www.topuniversities.com/universities/delft-university-technology
57, 58,University of Bristol,United Kingdom,https://www.topuniversities.com/universities/university-bristol
58, 59,Universiti Malaya (UM),Malaysia,https://www.topuniversities.com/universities/universiti-malaya-um
59, 60,Brown University,United States,https://www.topuniversities.com/universities/brown-university
60, 61,University of Amsterdam,Netherlands,https://www.topuniversities.com/universities/university-amsterdam
61, 62,University of Warwick,United Kingdom,https://www.topuniversities.com/universities/university-warwick
62, 63,Ludwig-Maximilians-Universität München,Germany,https://www.topuniversities.com/universities/ludwig-maximilians-universitat-munchen
63, 64,Ruprecht-Karls-Universitat Heidelberg,Germany,https://www.topuniversities.com/universities/ruprecht-karls-universitat-heidelberg
64, 65,University of Wisconsin-Madison,United States,https://www.topuniversities.com/universities/university-wisconsin-madison
65, 66,National Taiwan University (NTU),Taiwan,https://www.topuniversities.com/universities/national-taiwan-university-ntu
66, 66,Universidad de Buenos Aires (UBA),Argentina,https://www.topuniversities.com/universities/universidad-de-buenos-aires-uba
67, 68,Ecole Polytechnique,France,https://www.topuniversities.com/universities/ecole-polytechnique
68, 69,Korea University,South Korea,https://www.topuniversities.com/universities/korea-university
69, 69,University of Zurich,Switzerland,https://www.topuniversities.com/universities/university-zurich
70, 71,University of Texas at Austin,United States,https://www.topuniversities.com/universities/university-texas-austin
71, 72,Osaka University,Japan,https://www.topuniversities.com/universities/osaka-university
72, 72,University of Washington,United States,https://www.topuniversities.com/universities/university-washington
73, 74,Lomonosov Moscow State University,Russia,https://www.topuniversities.com/universities/lomonosov-moscow-state-university
74, 75,Hong Kong Polytechnic University,Hong Kong,https://www.topuniversities.com/universities/hong-kong-polytechnic-university
75, 76,University of Copenhagen,Denmark,https://www.topuniversities.com/universities/university-copenhagen
76, 77,Pohang University of Science and Technology (POSTECH),South Korea,https://www.topuniversities.com/universities/pohang-university-science-technology-postech
77, 77,University of Glasgow,United Kingdom,https://www.topuniversities.com/universities/university-glasgow
78, 79,Tohoku University,Japan,https://www.topuniversities.com/universities/tohoku-university
79, 80,Georgia Institute of Technology,United States,https://www.topuniversities.com/universities/georgia-institute-technology
80, 81,University of Auckland,New Zealand,https://www.topuniversities.com/universities/university-auckland
81, 82,University of Illinois at Urbana-Champaign,United States,https://www.topuniversities.com/universities/university-illinois-urbana-champaign
82, 83,Sorbonne University,France,https://www.topuniversities.com/universities/sorbonne-university
83, 84,KU Leuven,Belgium,https://www.topuniversities.com/universities/ku-leuven
84, 86,Durham University,United Kingdom,https://www.topuniversities.com/universities/durham-university
85, 85,Yonsei University,South Korea,https://www.topuniversities.com/universities/yonsei-university
86, 87,University of Birmingham,United Kingdom,https://www.topuniversities.com/universities/university-birmingham
87, 88,Sungkyunkwan University (SKKU),South Korea,https://www.topuniversities.com/universities/sungkyunkwan-university-skku
88, 89,Rice University,United States,https://www.topuniversities.com/universities/rice-university
89, 90,University of Southampton,United Kingdom,https://www.topuniversities.com/universities/university-southampton
90, 91,University of Leeds,United Kingdom,https://www.topuniversities.com/universities/university-leeds
91, 92,University of Western Australia,Australia,https://www.topuniversities.com/universities/university-western-australia
92, 93,University of Sheffield,United Kingdom,https://www.topuniversities.com/universities/university-sheffield
93, 93,University of Science and Technology of China,China,https://www.topuniversities.com/universities/university-science-technology-china
94, 95,"University of North Carolina, Chapel Hill",United States,https://www.topuniversities.com/universities/university-north-carolina-chapel-hill
95, 96,University of St Andrews,United Kingdom,https://www.topuniversities.com/universities/university-st-andrews
96, 97,Lund University,Sweden,https://www.topuniversities.com/universities/lund-university
97, 98,KTH Royal Institute of Technology,Sweden,https://www.topuniversities.com/universities/kth-royal-institute-technology
98, 99,University of Nottingham,United Kingdom,https://www.topuniversities.com/universities/university-nottingham
99, 100,Universidad Nacional Autónoma de México (UNAM),Mexico,https://www.topuniversities.com/universities/universidad-nacional-autonoma-de-mexico-unam
